time,range
13315420,215
13329972,202
13344536,316
13359096,494
13373660,768
13388212,779
13402772,661
13417336,482
13431900,216
13446456,202
13461012,316
13475572,494
13490140,768
13504696,780
13519256,660
13533816,482
13548380,216
13562936,202
13577496,316
13592056,494
13606620,768
13621176,780
13635736,661
13650296,482
13664860,216
13679412,202
13693976,316
13708536,494
13723100,768
13737656,779
13752216,661
13766772,482
13781340,215
13795896,202
13810456,316
13825016,494
13839580,768
13854136,780
13868696,661
13883256,482
13897820,215
13912376,202
13926936,316
13941496,494
13956060,768
13970612,780
13985176,660
13999732,482
14014300,216
14028856,202
14043416,316
14057976,494
14072540,768
14087096,780
14101652,660
14116212,481
14130780,215
14145336,202
14159896,316
14174452,494
14189020,768
14203572,780
14218136,660
14232696,482
14247260,215
14261816,202
14276376,315
14290932,494
14305500,768
14320056,779
14334616,660
14349176,482
14363740,216
14378296,202
14392852,316
14407412,494
14421980,768
14436536,780
14451096,660
14465652,482
14480220,216
14494776,202
14509336,315
14523896,494
14538460,768
14553016,780
14567576,660
14582136,481
14596700,216
14611256,202
14625812,315
14640372,494
14654940,768
14669496,780
14684052,660
14698612,482
14713180,215
14727736,202
14742296,315
14756852,494
14771420,768
14785976,780
14800536,660
14815096,482
14829660,216
14844212,202
14858776,315
14873336,493
14887900,767
14902456,780
14917012,660
14931576,482
14946140,216
14960696,202
14975256,315
14989816,494
15004380,768
15018936,780
15033496,660
15048052,481
15062620,215
15077176,201
15091732,315
15106296,494
15120860,768
15135412,780
15149976,660
15164536,482
15179100,215
15193652,202
15208216,315
15222772,494
15237340,767
15251896,780
15266456,660
15281012,482
15295580,216
15310136,202
15324696,315
15339256,494
15353820,768
15368372,780
15382936,660
15397496,482
15412060,215
15426616,201
15441176,315
15455732,493
15470300,768
15484856,780
15499416,661
15513976,481
15528540,215
15543096,202
15557656,315
15572216,494
15586780,767
15601336,780
15615896,661
15630456,482
15645020,215
15659576,202
15674136,315
15688696,494
15703260,768
15717812,780
15732376,660
15746936,482
15761500,215
15776056,201
15790616,315
15805176,494
15819740,768
15834296,780
15848856,660
15863412,482
15877980,215
15892536,201
15907092,315
15921656,494
15936220,768
15950776,780
15965336,660
15979896,481
15994460,215
16009016,202
16023576,316
16038132,494
16052700,768
16067252,780
16081816,661
16096376,482
16110940,215
16125492,202
16140056,316
16154616,494
16169180,768
16183732,779
16198292,660
16212856,482
16227420,216
16241976,202
16256536,316
16271096,494
16285660,768
16300212,780
16314772,660
16329336,482
16343900,215
16358456,202
16373016,315
16387572,494
16402140,768
16416696,780
16431256,660
16445816,481
16460380,216
16474936,202
16489496,316
16504052,494
16518620,768
16533176,780
16547736,660
16562296,482
16576860,215
16591412,202
16605972,315
16620532,494
16635100,768
16649656,780
16664212,660
16678776,482
16693340,216
16707896,202
16722456,316
16737016,494
16751580,768
16766136,780
16780696,660
16795252,482
16809820,216
16824376,202
16838936,316
16853492,494
16868060,768
16882612,780
16897176,661
16911736,482
16926300,216
16940856,202
16955416,315
16969976,494
16984540,768
16999096,780
17013656,661
17028216,482
17042780,215
17057336,202
17071896,316
17086452,494
17101020,768
17115576,779
17130136,661
17144692,482
17159260,216
17173816,202
17188376,316
17202936,494
17217500,768
17232056,780
17246616,660
17261172,482
17275740,216
17290296,202
17304856,316
17319416,494
17333980,768
17348536,780
17363096,661
17377656,482
17392220,216
17406772,202
17421336,316
17435896,494
17450460,768
17465012,780
17479576,660
17494136,482
17508700,215
17523252,202
17537816,316
17552376,494
17566940,768
17581496,780
17596056,661
17610612,482
17625180,216
17639736,202
17654296,316
17668856,495
17683420,768
17697976,780
17712536,660
17727092,482
17741660,216
17756216,202
17770776,316
17785336,494
17799900,768
17814456,780
17829016,661
17843576,482
17858140,216
17872696,202
17887252,316
17901816,494
17916380,768
17930932,780
17945496,661
17960056,482
17974620,215
17989176,202
